"","Country","Capital","Population","Area","Region","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Crops....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"23","Belize","Belmopan","314522","22966.0","LATIN AMER. & CARIB    ",0,2569,4900,941,1157,171,2,2884,572,142,152,612
"24","Benin","Porto-Novo","9056010","112620.0","SUB-SAHARAN AFRICA                 ",0,85,1100,409,97,24,2,3885,1222,316,138,546
"25","Bermuda","Hamilton","65365","53.0","NORTHERN AMERICA                   ",249,853,36000,980,8514,0,2,114,774,1,1,89
"26","Bhutan","Thimphu","699847","47000.0","ASIA (EX. NEAR EAST)         ",0,10044,1300,422,143,43,2,3365,127,258,379,363
"27","Bolivia","Sucre","9947418","1098580.0","LATIN AMER. & CARIB    ",-132,5311,2400,872,719,19,15,233,753,128,352,52
"30","Botswana","Gaborone","2029307","600370.0","SUB-SAHARAN AFRICA                 ",0,5458,9000,798,805,1,1,2308,295,24,469,507
"32","Brazil","Brasília","201103330","8511965.0","LATIN AMER. & CARIB    ",-3,2961,7600,864,2253,9,2,1656,617,84,4,516
"35","Brunei","Bandar Seri Begawan","395027","5770.0","ASIA (EX. NEAR EAST)         ",359,1261,18600,939,2372,76,2,1879,345,36,561,403
"36","Bulgaria","Sofia","7148785","110910.0","EASTERN EUROPE                     ",-458,2055,7600,986,3363,192,3,965,1427,93,304,603
"38","Burundi","Bujumbura","9863117","27830.0","SUB-SAHARAN AFRICA                 ",-6,6929,600,516,34,1402,2,4222,1346,463,203,334
"39","Cambodia","Phnom Penh","14453680","181040.0","ASIA (EX. NEAR EAST)         ",0,7148,1900,694,26,61,2,269,906,35,3,35
"40","Cameroon","Yaoundé","19294149","475440.0","SUB-SAHARAN AFRICA                 ",0,6826,1800,790,57,258,15,3389,1347,448,17,382
"45","Chad","N'Djamena","10543464","1284000.0","SUB-SAHARAN AFRICA                 ",-11,9382,1200,475,13,2,2,4573,1638,335,259,406
